Salary Range,Employee Share,Employer Share,Total
0-3250,135.00,135.00,270.00
3251-3750,157.50,157.50,315.00
3751-4250,180.00,180.00,360.00
4251-4750,202.50,202.50,405.00
4751-5250,225.00,225.00,450.00
5251-5750,247.50,247.50,495.00
5751-6250,270.00,270.00,540.00
6251-6750,292.50,292.50,585.00
6751-7250,315.00,315.00,630.00
7251-7750,337.50,337.50,675.00
7751-8250,360.00,360.00,720.00
8251-8750,382.50,382.50,765.00
8751-9250,405.00,405.00,810.00
9251-9750,427.50,427.50,855.00
9751-10250,450.00,450.00,900.00
10251-10750,472.50,472.50,945.00
10751-11250,495.00,495.00,990.00
11251-11750,517.50,517.50,1035.00
11751-12250,540.00,540.00,1080.00
12251-12750,562.50,562.50,1125.00
12751-13250,585.00,585.00,1170.00
13251-13750,607.50,607.50,1215.00
13751-14250,630.00,630.00,1260.00
14251-14750,652.50,652.50,1305.00
14751-15250,675.00,675.00,1350.00
15251-15750,697.50,697.50,1395.00
15751-16250,720.00,720.00,1440.00
16251-16750,742.50,742.50,1485.00
16751-17250,765.00,765.00,1530.00
17251-17750,787.50,787.50,1575.00
17751-18250,810.00,810.00,1620.00
18251-18750,832.50,832.50,1665.00
18751-19250,855.00,855.00,1710.00
19251-19750,877.50,877.50,1755.00
19751-20250,900.00,900.00,1800.00
20251-20750,922.50,922.50,1845.00
20751-21250,945.00,945.00,1890.00
21251-21750,967.50,967.50,1935.00
21751-22250,990.00,990.00,1980.00
22251-22750,1012.50,1012.50,2025.00
22751-23250,1035.00,1035.00,2070.00
23251-23750,1057.50,1057.50,2115.00
23751-24250,1080.00,1080.00,2160.00
24251-24750,1102.50,1102.50,2205.00
24751+,1125.00,1125.00,2250.00

